20
0.0 157.0 82.0 45.0 161.0 81.0 60.0 111.0 70.0 58.0 47.0 179.0 134.0 59.0 9.0 3.0 148.0 140.0 56.0 38.0
157.0 0.0 121.0 123.0 136.0 116.0 5.0 62.0 36.0 110.0 127.0 124.0 85.0 102.0 159.0 117.0 6.0 71.0 67.0 163.0
82.0 121.0 0.0 168.0 82.0 42.0 145.0 57.0 10.0 46.0 118.0 99.0 25.0 117.0 97.0 145.0 79.0 64.0 124.0 101.0
45.0 123.0 168.0 0.0 141.0 95.0 31.0 150.0 115.0 29.0 110.0 64.0 83.0 63.0 87.0 39.0 112.0 84.0 12.0 117.0
161.0 136.0 82.0 141.0 0.0 0.0 145.0 111.0 86.0 62.0 128.0 163.0 99.0 36.0 68.0 53.0 110.0 0.0 78.0 65.0
81.0 116.0 42.0 95.0 0.0 0.0 112.0 114.0 102.0 61.0 69.0 102.0 68.0 178.0 124.0 19.0 148.0 86.0 47.0 33.0
60.0 5.0 145.0 31.0 145.0 112.0 0.0 39.0 90.0 137.0 146.0 163.0 187.0 149.0 146.0 54.0 88.0 56.0 99.0 141.0
111.0 62.0 57.0 150.0 111.0 114.0 39.0 0.0 9.0 143.0 38.0 80.0 59.0 56.0 166.0 97.0 76.0 19.0 146.0 123.0
70.0 36.0 10.0 115.0 86.0 102.0 90.0 9.0 0.0 106.0 130.0 91.0 41.0 60.0 138.0 73.0 7.0 84.0 6.0 77.0
58.0 110.0 46.0 29.0 62.0 61.0 137.0 143.0 106.0 0.0 60.0 147.0 102.0 47.0 65.0 97.0 97.0 112.0 89.0 124.0
47.0 127.0 118.0 110.0 128.0 69.0 146.0 38.0 130.0 60.0 0.0 157.0 72.0 20.0 55.0 154.0 79.0 104.0 55.0 160.0
179.0 124.0 99.0 64.0 163.0 102.0 163.0 80.0 91.0 147.0 157.0 0.0 54.0 147.0 135.0 71.0 102.0 86.0 76.0 44.0
134.0 85.0 25.0 83.0 99.0 68.0 187.0 59.0 41.0 102.0 72.0 54.0 0.0 110.0 71.0 69.0 52.0 97.0 77.0 153.0
59.0 102.0 117.0 63.0 36.0 178.0 149.0 56.0 60.0 47.0 20.0 147.0 110.0 0.0 64.0 77.0 91.0 96.0 162.0 126.0
9.0 159.0 97.0 87.0 68.0 124.0 146.0 166.0 138.0 65.0 55.0 135.0 71.0 64.0 0.0 159.0 16.0 49.0 95.0 175.0
3.0 117.0 145.0 39.0 53.0 19.0 54.0 97.0 73.0 97.0 154.0 71.0 69.0 77.0 159.0 0.0 89.0 82.0 82.0 74.0
148.0 6.0 79.0 112.0 110.0 148.0 88.0 76.0 7.0 97.0 79.0 102.0 52.0 91.0 16.0 89.0 0.0 155.0 66.0 61.0
140.0 71.0 64.0 84.0 0.0 86.0 56.0 19.0 84.0 112.0 104.0 86.0 97.0 96.0 49.0 82.0 155.0 0.0 80.0 67.0
56.0 67.0 124.0 12.0 78.0 47.0 99.0 146.0 6.0 89.0 55.0 76.0 77.0 162.0 95.0 82.0 66.0 80.0 0.0 74.0
38.0 163.0 101.0 117.0 65.0 33.0 141.0 123.0 77.0 124.0 160.0 44.0 153.0 126.0 175.0 74.0 61.0 67.0 74.0 0.0
0.0 143.0 106.0 66.0 115.0 51.0 21.0 169.0 106.0 142.0 65.0 121.0 127.0 43.0 110.0 67.0 173.0 135.0 57.0 60.0
